step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,897,1,0.053629064341140155,0.0,0.0,0.0826382511037688,0.0,0.0
2,1418,2,0.06978668457794433,0.0,0.0,,,
3,2011,3,0.06129759838557024,0.0,0.0,,,
4,2500,4,0.05836665958933319,0.0,0.0,,,
5,3253,5,0.04165915175462439,0.0,0.0,,,
6,4054,6,0.0381624872765693,0.0,0.0,,,
7,4559,7,0.032902061242188904,1.0,1.0,,,
8,5208,8,0.029438708502031074,1.0,1.0,,,
9,6057,9,0.03093509689189786,1.0,1.0,0.026725560222011956,1.0,1.0
10,6658,10,0.028886012396450556,1.0,1.0,,,
11,7371,11,0.03104761964729408,1.0,1.0,,,
12,7924,12,0.03322733055900916,1.0,1.0,,,
13,8189,13,0.026768421681999416,1.0,1.0,,,
14,8790,14,0.02915793083836463,1.0,1.0,,,
15,9423,15,0.033158737608568224,1.0,1.0,,,
16,9864,16,0.025892570466874713,1.0,1.0,,,
17,10473,17,0.0319605732082576,1.0,1.0,0.02964380817883437,1.0,1.0
18,10818,18,0.07957350029305522,0.0,0.0,,,
19,11435,19,0.027924131158062384,1.0,1.0,,,
20,12020,20,0.03371347678971464,0.0,0.5,,,
21,12613,21,0.03134789507153442,1.0,1.0,,,
22,13110,22,0.029030733353038747,1.0,1.0,,,
23,13791,23,0.02853757833991532,1.0,1.0,,,
24,14192,24,0.03578305264799628,1.0,1.0,,,
25,14929,25,0.02670066791657212,1.0,1.0,0.031812279526327966,1.0,1.0
26,15450,26,0.02940318430089582,1.0,1.0,,,
27,16275,27,0.028260087165268684,1.0,1.0,,,
28,17180,28,0.02906571358763267,1.0,1.0,,,
29,17853,29,0.028366080634528668,1.0,1.0,,,
30,18326,30,0.029436627547990257,1.0,1.0,,,
31,18783,31,0.026601715036036002,1.0,1.0,,,
32,19352,32,0.029368441975231734,1.0,1.0,,,
33,20105,33,0.02963451690393161,1.0,1.0,0.02626799927952546,1.0,1.0
34,21138,34,0.030456652801446982,1.0,1.0,,,
35,21771,35,0.03201930204125352,1.0,1.0,,,
36,22236,36,0.02774907648110594,1.0,1.0,,,
37,22965,37,0.02633989449329135,1.0,1.0,,,
38,23454,38,0.028795825432510313,1.0,1.0,,,
39,24111,39,0.06463726020911759,0.0,0.5,,,
40,24808,40,0.028578325855787835,1.0,1.0,,,
41,25153,41,0.027288230498036914,1.0,1.0,0.03036525202490157,1.0,1.0
42,26090,42,0.026316297369884348,1.0,1.0,,,
43,27003,43,0.028858361369647385,1.0,1.0,,,
44,27756,44,0.028347943242378215,1.0,1.0,,,
45,28245,45,0.04659129618694024,0.0,0.0,,,
